lat,lon,LST,NDVI,NDBI,NDWI,UHI_index,heat_zone,pop_density,dist_water,elevation,imperv_fraction,heat_stress_index,land_use,gi_z_score,is_hotspot,is_coldspot,hotspot_score,cluster_id
28.77149890330686,77.12525388016324,48.11,0.5205,-0.0211,0.0689,1.6767,Extreme,18963,14.346,191.6,0.4995,0.6102,Commercial,12.101,True,False,0.5734,94
28.610661651080985,77.2978426755149,51.6,0.3157,-0.0405,-0.2699,2.5043,Extreme,21595,12.663,199.0,0.5877,0.7183,Commercial,14.963,True,False,0.7034,42
28.812127001557464,76.98180981921608,40.19,0.4555,-0.1433,0.0635,-0.1983,Moderate,14366,28.998,196.0,0.3024,0.3922,Commercial,-6.027,False,True,0.3813,-1
28.734736653948495,76.85324855557275,38.91,0.4668,-0.1448,-0.2655,-0.5035,Low,3116,35.0,204.4,0.4032,0.3645,Commercial,-6.117,False,True,0.3469,-1
28.44520512698607,77.2355840518788,34.9,0.4926,-0.1393,-0.0637,-1.4535,Low,68763,24.661,207.9,0.464,0.4554,Green Space,-0.06,False,False,0.4712,-1
28.868298728785643,77.1982126065857,43.0,0.322,-0.2213,-0.1025,0.4666,Moderate,7899,22.678,186.5,0.3584,0.428,Industrial,-2.514,False,True,0.4393,-1
28.765347056955367,77.11820073929384,50.26,0.3407,0.1052,-0.2417,2.1865,Extreme,18309,14.25,200.9,0.5414,0.7305,Commercial,11.823,True,False,0.684,94
28.777310866532936,77.25582479216189,43.88,0.4947,-0.0847,-0.1055,0.6752,High,9119,14.171,190.3,0.4083,0.4794,Commercial,2.233,True,False,0.4513,98
28.46149454368426,77.26844303005055,43.25,0.385,-0.1747,-0.2223,0.5245,High,13066,23.836,200.5,0.4697,0.4743,Residential,2.619,True,False,0.4746,2
28.616185250189872,77.13983068708927,41.57,0.4761,-0.1453,-0.0777,0.1286,Moderate,16761,8.273,194.3,0.403,0.4372,Commercial,2.183,True,False,0.4264,36
